"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:hg_product_brand","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:rs_page_bg_color","meta:slide_template","meta:total_sales","attribute:pa_cabeza-de-mazo","attribute_data:pa_cabeza-de-mazo","attribute_default:pa_cabeza-de-mazo","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_dimensiones-de-la-cabeza","attribute_data:pa_dimensiones-de-la-cabeza","attribute_default:pa_dimensiones-de-la-cabeza","attribute:pa_dimensiones-del-mango","attribute_data:pa_dimensiones-del-mango","attribute_default:pa_dimensiones-del-mango","attribute:pa_mango","attribute_data:pa_mango","attribute_default:pa_mango","attribute:pa_talla","attribute_data:pa_talla","attribute_default:pa_talla"
"Portazapatos Unisex Barcelona Ofelia T","portazapatos-unisex-barcelona-ofelia-t","604","","100% Serraje y Cuero","pending","49","2020-12-02 10:25:37","0","1","closed","OT4821410_grey","no","no","","","instock","no","no","25","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/portazapatos-unisex-barcelona-grey-ofelia-t.jpg","","Ofelia T","simple","","Accesorios > Bolsos","unisex","","","","0","","","","Grey","0|1|1","grey","","","","","","","","","","","",""
"Bolsa de Viaje Unisex Málaga Ofelia T","bolsa-de-viaje-unisex-malaga-ofelia-t","606","","100% Serraje y Cuero","pending","3","2020-12-02 10:25:37","0","1","closed","OT4851410_camel","no","no","","","instock","no","no","195","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/bolsa-viaje-unisex-malaga-camel-ofelia-t.jpg","","Ofelia T","simple","","Accesorios > Bolsos","unisex","","","","0","","","","Camel","0|1|1","camel","","","","","","","","","","","",""
"Cesta de Señora Betty Ofelia T","cesta-de-senora-betty-ofelia-t","608","","100% Serraje y Cuero","pending","11","2020-12-02 10:25:37","0","1","closed","OT3004/G_white","no","no","","","instock","no","no","85","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/cesta-senora-betty-white-ofelia-t.jpg","","Ofelia T","simple","","Accesorios > Bolsos","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","","",""
"Zapatillas de caballero Biom Cool Pro Ecco","zapatillas-de-caballero-biom-cool-pro-ecco","610","","Goretex","draft","57","2020-12-02 10:25:37","0","1","closed","102104/01007","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-main.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-outside.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-heel.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-inside.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-front.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-top.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-cool-pro-white-ecco-102104-01007-sole.jpg","","Ecco","variable","","Zapatillas","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","39|40|41|42|43|44|45|46|47|48","1|1|1","39"
"Zapatillas de caballero Biom Hybrid 3 Boa Ecco","zapatillas-de-caballero-biom-hybrid-3-boa-ecco","621","","Tecnologías:
<ul>
 	<li>Multitacos,</li>
 	<li>BOA®,</li>
 	<li>GORE-TEX®</li>
</ul>","draft","58","2020-12-02 10:25:37","0","1","closed","155814/59020","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-hybrid-3-white-dynasty-ecco-155814-59020-main.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-hybrid-3-white-dynasty-ecco-155814-59020-outside.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-hybrid-3-white-dynasty-ecco-155814-59020-front.jpg | https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-biom-hybrid-3-white-dynasty-ecco-155814-59020-inside.jpg","","Ecco","variable","","Zapatillas","caballero","","","","0","","","","White Dynasty","0|1|1","white-dynasty","","","","","","","","","","39|40|41|42|43|44|45|46|47|48","1|1|1","39"
"Zapatillas de caballero S-Classic Ecco","zapatillas-de-caballero-s-classic-ecco","632","","Goretex","draft","59","2020-12-02 10:25:50","0","1","closed","102704/01007","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-caballero-s-classic-white-ecco-102704-01007-main.jpg","","Ecco","variable","","Zapatillas","caballero","","","","0","","","","White","0|1|1","white","","","","","","","","","","39|40|41|42|43|44|45|46|47","1|1|1","39"
"Zapatillas de señora S-Lite Ecco","zapatillas-de-senora-s-lite-ecco","642","","Goretex","draft","61","2020-12-02 10:25:50","0","1","closed","121903/01007","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-senora-s-lite-white-ecco-121903-01007-main.jpg","","Ecco","variable","","Zapatillas","senora","","","","0","","","","White","0|1|1","white","","","","","","","","","","36|37|38|39|40|41|42","1|1|1","36"
"Zapatillas de señora Biom Hybrid 3 Boa Ecco","zapatillas-de-senora-biom-hybrid-3-boa-ecco","650","","Goretex y Boa","draft","60","2020-12-02 10:25:52","0","1","closed","125513/52313","no","no","","","instock","no","no","","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/zapatillas-senora-biom-hybrid-3-white-canary-ecco-125513-52313-main.jpg","","Ecco","variable","","Zapatillas","senora","","","","0","","","","White Canary","0|1|1","white-canary","","","","","","","","","","35|36|37|38|39|40|41|42","1|1|1","35"
"Cabeza de Mazo The Brass Spot #1 The Brass Spot","cabeza-de-mazo-the-brass-spot-1-the-brass-spot","659","","Cabeza de mazo rectangular, en madera de Iroko/Sapelli, con tapas de resina y contrapesos internos de plomo.","draft","4","2020-12-02 10:25:52","0","1","closed","TBSMAZ0001","no","no","","","instock","no","no","120","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-1-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
"Cabeza de Mazo The Brass Spot #2 The Brass Spot","cabeza-de-mazo-the-brass-spot-2-the-brass-spot","661","","Cabeza de mazo en madera de Bubinga, con contrapesos en latón y tapas en resina de fibra de vidrio.","draft","5","2020-12-02 10:25:52","0","1","closed","TBSMAZ0002","no","no","","","instock","no","no","170","","","","","","none","","","","no","","","'-1","'-1","","","","","","","https://federaciondecroquet.corporat-e.com/wp-content/uploads/sites/4/2020/12/mazo-the-brass-spot-2-brass-spot.jpg","","The Brass Spot","simple","","Croquet > Mazos","","","","","0","","","","","","","","","","","","","","","","","",""
